,customer_id,buyer_business_type,district_id,district_name_ar,city_name_en,area_name_ar,geo_latitude,geo_longitude,registration_date,avg_ticket_size,number_of_transactions,number_of_cancelled_transactions,last_order_date,total_orders_amount,buyer_business_type_encoded,cluster,promo
1939,8680,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,30.00367,31.19919,2020-06-07,1783.475,2.0,0.0,2020-09-09,3566.95,2,1,+5000 spendings (10% off)
1944,8723,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,30.00537,31.20215,2020-06-07,478.0,1.0,1.0,2020-07-11,478.0,2,1,+5000 spendings (10% off)
1949,8772,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,30.14545,31.39253,2020-06-07,2234.25,1.0,0.0,2020-06-08,2234.25,2,1,+5000 spendings (10% off)
1954,8810,سوبر ماركت,100155.0,القناطر الخيرية,Cairo,باسوس,31.21464,30.14215,2020-06-07,1846.7725,4.0,0.0,2020-08-20,7387.089999999999,2,1,+5000 spendings (10% off)
1957,8849,سوبر ماركت,100155.0,القناطر الخيرية,Cairo,المنيرة,30.19178,31.14117,2020-06-07,3941.1528571428566,7.0,2.0,2021-03-13,27588.07,2,3,+15000 spendings (18% off)
1960,8859,سوبر ماركت,100131.0,المطرية,Cairo,المسلة,30.10187,31.21786,2020-06-07,1454.545,2.0,0.0,2021-02-04,2909.09,2,1,+5000 spendings (10% off)
1963,8869,سوبر ماركت,100107.0,عين شمس,Cairo,عين شمس,30.05771,31.18248,2020-06-07,10976.005,2.0,0.0,2020-09-07,21952.01,2,3,+15000 spendings (18% off)
1975,8911,عطارة,100112.0,العمرانية,Giza,العمرانية الغربية,30.05771,31.18248,2020-06-08,1176.985,2.0,0.0,2020-08-23,2353.97,3,1,+5000 spendings (10% off)
1981,8939,كشك,100157.0,بولاق الدكرور,Giza,ابو اتاته,30.03417,31.19612,2020-06-08,628.0,1.0,0.0,2020-08-08,628.0,5,1,+5000 spendings (10% off)
2000,9029,عطارة,100153.0,الخصوص,Cairo,الخصوص,30.15837,31.31089,2020-06-08,1016.2266666666666,3.0,0.0,2021-02-23,3048.68,3,1,+5000 spendings (10% off)
2001,9030,عطارة,100134.0,مدينه نصر,Cairo,زهراء مدينه نصر,30.04628,31.37578,2020-06-08,2241.26,1.0,1.0,2020-08-06,2241.26,3,1,+5000 spendings (10% off)
2007,9050,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية ,30.00931,31.19407,2020-06-08,1129.25,1.0,0.0,2020-06-21,1129.25,2,1,+5000 spendings (10% off)
2010,9065,سوبر ماركت,100119.0,فيصل,Giza,الليبيني فيصل,30.13366,31.22174,2020-06-08,2291.24,1.0,0.0,2020-07-25,2291.24,2,1,+5000 spendings (10% off)
2012,9073,عطارة,100154.0,باسوس,Cairo,باسوس,30.13885,31.24405,2020-06-08,1491.1266666666663,6.0,2.0,2020-10-06,8946.759999999998,3,1,+5000 spendings (10% off)
2013,9078,سوبر ماركت,100123.0,الهرم,Giza,الهرم,,,2020-06-08,1330.215,4.0,2.0,2021-02-26,5320.86,2,1,+5000 spendings (10% off)
2015,9085,سوبر ماركت,100134.0,مدينه نصر,Cairo,زهراء مدينه نصر,30.0413,31.37007,2020-06-08,3552.25,1.0,0.0,2020-06-08,3552.25,2,1,+5000 spendings (10% off)
2016,9086,سوبر ماركت,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,30.12765,31.2507,2020-06-08,2607.29,1.0,1.0,2020-08-25,2607.29,2,1,+5000 spendings (10% off)
2024,9130,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,30.13949,31.38349,2020-06-08,2394.14,1.0,0.0,2020-07-14,2394.14,2,1,+5000 spendings (10% off)
2025,9131,سوبر ماركت,100110.0,المرج,Cairo,المرج الجديدة,30.10187,31.21786,2020-06-08,984.4933333333332,3.0,0.0,2021-03-14,2953.48,2,1,+5000 spendings (10% off)
2026,9138,سوبر ماركت,100149.0,الزاويه الحمراء,Cairo,الزاويه الحمراء,31.26319,30.0735,2020-06-08,1998.3733333333328,3.0,2.0,2021-02-22,5995.12,2,1,+5000 spendings (10% off)
2027,9139,عطارة,100126.0,امبابة,Giza,الكيت كات,30.09066,31.21066,2020-06-08,1184.935,2.0,1.0,2020-08-13,2369.87,3,1,+5000 spendings (10% off)
2028,9142,عطارة,100153.0,الخصوص,Cairo,الخصوص,30.15389,31.31426,2020-06-08,998.62,1.0,0.0,2020-07-27,998.62,3,1,+5000 spendings (10% off)
2031,9186,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,31.38198,30.13828,2020-06-08,2184.563333333333,3.0,1.0,2020-09-13,6553.69,2,1,+5000 spendings (10% off)
2034,9199,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,30.0019,31.19445,2020-06-08,1739.021111111111,9.0,2.0,2021-03-04,15651.19,2,3,+15000 spendings (18% off)
2038,9262,سوبر ماركت,100119.0,فيصل,Giza,فيصل,30.13366,31.22174,2020-06-08,1223.76,3.0,0.0,2020-08-10,3671.28,2,1,+5000 spendings (10% off)
2039,9264,سوبر ماركت,100140.0,مصر القديمة,Cairo,مصر القديمة,,,2020-06-08,3187.56,2.0,1.0,2020-08-05,6375.12,2,1,+5000 spendings (10% off)
2041,9305,عطارة,100119.0,فيصل,Giza,العشرين,30.01995,31.18599,2020-06-08,3426.57,1.0,0.0,2020-06-08,3426.57,3,1,+5000 spendings (10% off)
2042,9317,سوبر ماركت,100126.0,امبابة,Giza,المنيره,30.08923,31.21134,2020-06-08,1422.96,1.0,1.0,2020-08-08,1422.96,2,1,+5000 spendings (10% off)
2052,9356,سوبر ماركت,100162.0,الوراق,Giza,طناش و نزله الزمر,30.18292,31.11155,2020-06-09,2462.125,2.0,1.0,2020-07-23,4924.25,2,1,+5000 spendings (10% off)
2053,9398,سوبر ماركت,100126.0,امبابة,Giza,,30.08789,31.20907,2020-06-09,917.14,1.0,1.0,2020-06-25,917.14,2,1,+5000 spendings (10% off)
2055,9401,سوبر ماركت,100123.0,الهرم,Giza,المنصورية,29.9736,31.14525,2020-06-09,543.8771428571429,7.0,0.0,2020-07-27,3807.14,2,1,+5000 spendings (10% off)
2056,9406,سوبر ماركت,100126.0,امبابة,Giza,الكيت كات,30.0878,31.2126,2020-06-09,3105.333333333333,15.0,8.0,2021-02-23,46580.0,2,3,+15000 spendings (18% off)
2063,9437,سوبر ماركت,100162.0,الوراق,Giza,طناش و نزله الزمر,30.1757,31.1165,2020-06-09,873.9516666666665,6.0,2.0,2020-08-12,5243.709999999999,2,1,+5000 spendings (10% off)
2064,9444,سوبر ماركت,100159.0,حي الجيزة,Giza,مجمع الجيزة,,,2020-06-09,1434.69,2.0,1.0,2020-06-13,2869.38,2,1,+5000 spendings (10% off)
2072,9484,سوبر ماركت,100113.0,الزيتون,Cairo,المطريه,30.0997,31.3141,2020-06-09,4505.1483333333335,12.0,10.0,2020-08-23,54061.78,2,0,+10000 spendings (15% off)
2074,9487,سوبر ماركت,100119.0,فيصل,Giza,الكوم الأخضر,29.99362,31.15216,2020-06-16,8879.04,1.0,0.0,2020-06-09,8879.04,2,1,+5000 spendings (10% off)
2077,9524,سوبر ماركت,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,31.25956,30.11764,2020-06-09,807.4216666666666,6.0,3.0,2020-10-07,4844.53,2,1,+5000 spendings (10% off)
2095,9647,عطارة,100119.0,فيصل,Giza,المطبعة,30.00902,31.16597,2020-06-09,3496.7475,4.0,0.0,2020-07-18,13986.99,3,1,+5000 spendings (10% off)
2098,9665,سوبر ماركت,100159.0,حي الجيزة,Giza,ميدان الجيزة,,,2020-06-09,2173.64,1.0,1.0,2020-06-11,2173.64,2,1,+5000 spendings (10% off)
2105,9695,سوبر ماركت,100140.0,مصر القديمة,Cairo,,30.00465,31.24948,2020-06-09,1212.77,1.0,1.0,2020-06-23,1212.77,2,1,+5000 spendings (10% off)
2106,9696,سوبر ماركت,100125.0,حلوان,Cairo,,29.83879,31.33616,2020-06-09,732.55,1.0,1.0,2020-06-09,732.55,2,1,+5000 spendings (10% off)
2107,9705,كشك,100119.0,فيصل,Giza,فيصل,29.99885,31.16075,2020-06-09,1605.0766666666666,3.0,0.0,2020-09-19,4815.23,5,1,+5000 spendings (10% off)
2109,9710,سوبر ماركت,100173.0,ميت نما,Cairo,ميت نما,30.1418,31.2367,2020-06-09,1312.78,2.0,1.0,2020-07-25,2625.56,2,1,+5000 spendings (10% off)
2110,9721,كشك,100128.0,المعادي,Cairo,المعادي,29.99231,31.28836,2020-06-10,1840.79,2.0,0.0,2020-09-26,3681.58,5,1,+5000 spendings (10% off)
2113,9743,عطارة,100126.0,امبابة,Giza,أمبابه ,30.12282,31.25118,2020-06-10,810.0,1.0,0.0,2020-06-22,810.0,3,1,+5000 spendings (10% off)
2115,9749,كشك,100143.0,شبرا الخيمة,Cairo,شبرا الخيمة,31.24725,30.12263,2020-06-10,1698.76,2.0,0.0,2020-08-03,3397.52,5,1,+5000 spendings (10% off)
2120,9789,سوبر ماركت,100126.0,امبابة,Giza,الكيت كات,30.0836,31.2074,2020-06-10,2403.3105555555558,18.0,16.0,2020-08-24,43259.59,2,3,+15000 spendings (18% off)
2126,9812,سوبر ماركت,100142.0,شبرا مصر,Cairo,عبود,,,2020-06-10,580.25,1.0,0.0,2020-07-29,580.25,2,1,+5000 spendings (10% off)
2127,9822,سوبر ماركت,100119.0,فيصل,Giza,الليبيني فيصل,29.99508,31.14198,2020-06-10,655.06,2.0,1.0,2020-06-26,1310.12,2,1,+5000 spendings (10% off)
2143,9951,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.98979,31.19553,2020-06-10,1570.0166666666669,3.0,1.0,2020-07-23,4710.05,2,1,+5000 spendings (10% off)
2149,9990,كشك,100122.0,حدائق القبة,Cairo,ترعة الجبل,30.08585,31.291,2020-06-10,2383.8866666666668,3.0,2.0,2020-08-08,7151.66,5,1,+5000 spendings (10% off)
2152,10019,كشك,100116.0,الدقي,Giza,الدقي,31.20538,30.05169,2020-06-10,1033.41,1.0,0.0,2020-07-11,1033.41,5,1,+5000 spendings (10% off)
2155,10051,سوبر ماركت,100123.0,الهرم,Giza,الليبيني هرم,29.97755,31.15722,2020-06-11,681.0,2.0,0.0,2020-07-24,1362.0,2,1,+5000 spendings (10% off)
2157,10081,سوبر ماركت,100157.0,بولاق الدكرور,Giza,ابو اتاته,30.03915,31.18539,2020-06-11,3014.2925,4.0,0.0,2020-07-25,12057.17,2,1,+5000 spendings (10% off)
2161,10127,سوبر ماركت,100134.0,مدينه نصر,Cairo,زهراء مدينه نصر,30.0566,31.3897,2020-06-11,2664.54,3.0,2.0,2020-08-30,7993.62,2,1,+5000 spendings (10% off)
2162,10138,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.84234,31.30535,2020-06-11,2080.54,1.0,1.0,2020-06-11,2080.54,2,1,+5000 spendings (10% off)
2163,10142,سوبر ماركت,100134.0,مدينه نصر,Cairo,زهراء مدينه نصر,30.0562,31.38995,2020-06-11,5173.636923076923,13.0,9.0,2021-02-23,67257.28,2,0,+10000 spendings (15% off)
2164,10149,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,30.1596,31.41375,2020-06-11,2666.25,4.0,2.0,2021-02-22,10665.0,2,1,+5000 spendings (10% off)
2168,10214,سوبر ماركت,100119.0,فيصل,Giza,العشرين,30.01145,31.19188,2020-06-11,630.5,1.0,1.0,2020-10-18,630.5,2,1,+5000 spendings (10% off)
2172,10252,سوبر ماركت,100179.0,بشتيل,Giza,بشتيل,30.08736,31.18136,2020-06-11,402.67,1.0,1.0,2020-06-11,402.67,2,1,+5000 spendings (10% off)
2174,10263,سوبر ماركت,100134.0,مدينه نصر,Cairo,زهراء مدينه نصر,30.05775,31.3884,2020-06-11,2825.02,3.0,2.0,2020-08-30,8475.06,2,1,+5000 spendings (10% off)
2175,10264,سوبر ماركت,100134.0,مدينه نصر,Cairo,مدينه نصر,30.05852,31.3864,2020-06-11,515.875,2.0,2.0,2021-02-11,1031.75,2,1,+5000 spendings (10% off)
2178,10318,عطارة,100134.0,مدينه نصر,Cairo,زهراء مدينه نصر,30.05505,31.392,2020-06-13,7800.175999999999,5.0,2.0,2020-08-13,39000.88,3,3,+15000 spendings (18% off)
2180,10334,سوبر ماركت,100134.0,مدينه نصر,Cairo,زهراء مدينه نصر,30.05455,31.39345,2020-06-13,5470.24,1.0,1.0,2020-06-28,5470.24,2,1,+5000 spendings (10% off)
2181,10338,عطارة,100155.0,القناطر الخيرية,Cairo,عزبه الناموس ,30.1957,31.13951,2020-06-13,1037.775,2.0,0.0,2021-03-09,2075.55,3,1,+5000 spendings (10% off)
2189,10384,سوبر ماركت,100107.0,عين شمس,Cairo,عين شمس,31.2273,30.13222,2020-06-13,1749.0749999999998,2.0,0.0,2020-09-23,3498.15,2,1,+5000 spendings (10% off)
2192,10400,كشك,100160.0,ميت عقبه,Giza,ميت عقبه,,,2020-06-13,1882.82,2.0,1.0,2020-06-28,3765.64,5,1,+5000 spendings (10% off)
2205,10516,سوبر ماركت,100157.0,بولاق الدكرور,Giza,ابو اتاته,31.18742,30.03449,2020-06-14,1266.9425,4.0,2.0,2020-08-09,5067.77,2,1,+5000 spendings (10% off)
2208,10532,سوبر ماركت,100151.0,عزبة النخل,Cairo,عزبة النخل,31.31977,30.14787,2020-06-15,1208.5,4.0,1.0,2021-03-09,4834.0,2,1,+5000 spendings (10% off)
2209,10539,سوبر ماركت,100125.0,حلوان,Cairo,حدايق حلوان,29.8902,31.29255,2020-06-14,1213.94,1.0,0.0,2020-08-11,1213.94,2,1,+5000 spendings (10% off)
2213,10557,سوبر ماركت,100157.0,بولاق الدكرور,Giza,ابو اتاته,,,2020-06-14,3491.56,1.0,0.0,2020-06-30,3491.56,2,1,+5000 spendings (10% off)
2216,10567,سوبر ماركت,100123.0,الهرم,Giza,الهرم,31.14534,29.98455,2020-06-14,2223.132857142857,7.0,2.0,2021-02-26,15561.929999999998,2,3,+15000 spendings (18% off)
2219,10573,سوبر ماركت,100128.0,المعادي,Cairo,طرة,29.93931,31.27531,2020-06-14,2058.0,1.0,0.0,2020-06-14,2058.0,2,1,+5000 spendings (10% off)
2224,10612,سوبر ماركت,100155.0,القناطر الخيرية,Cairo,التقسيم السياحي ,30.18793,31.13962,2020-06-14,1066.73,1.0,0.0,2020-08-13,1066.73,2,1,+5000 spendings (10% off)
2236,10699,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.78798,31.29643,2020-06-14,1005.8,1.0,0.0,2020-07-09,1005.8,2,1,+5000 spendings (10% off)
2242,10747,سوبر ماركت,100128.0,المعادي,Cairo,صقر قريش,31.28691,29.99179,2020-06-15,1343.5939999999998,5.0,1.0,2021-01-23,6717.969999999999,2,1,+5000 spendings (10% off)
2243,10751,سوبر ماركت,100128.0,المعادي,Cairo,صقر قريش,29.99107,31.28884,2020-06-15,3965.94,1.0,0.0,2020-06-25,3965.94,2,1,+5000 spendings (10% off)
2253,10818,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.84197,31.32003,2020-06-15,1192.25,1.0,1.0,2020-07-22,1192.25,2,1,+5000 spendings (10% off)
2255,10824,سوبر ماركت,100119.0,فيصل,Giza,ابو اتاته,29.99081,31.13461,2020-06-15,2802.478,5.0,2.0,2020-09-28,14012.39,2,1,+5000 spendings (10% off)
2259,10862,عطارة,100170.0,كرداسة,Giza,ناهيا,31.16317,30.00428,2020-06-15,4288.4375,4.0,1.0,2021-03-11,17153.75,3,3,+15000 spendings (18% off)
2262,10889,سوبر ماركت,100130.0,المنيل,Giza,المنيل,31.22499,30.02557,2020-06-15,602.0,1.0,0.0,2020-09-14,602.0,2,1,+5000 spendings (10% off)
2270,10917,سوبر ماركت,100162.0,الوراق,Giza,وراق العرب,30.10328,31.21501,2020-06-15,1200.0,2.0,1.0,2020-07-28,2400.0,2,1,+5000 spendings (10% off)
2272,10922,سوبر ماركت,100128.0,المعادي,Cairo,المعادي,29.98104,31.25751,2020-06-16,1172.14,1.0,0.0,2020-06-24,1172.14,2,1,+5000 spendings (10% off)
2276,10935,سوبر ماركت,100109.0,المنيل,Cairo,المنيل,30.02136,31.2255,2020-06-16,3211.69,1.0,0.0,2020-07-13,3211.69,2,1,+5000 spendings (10% off)
2280,10940,سوبر ماركت,100142.0,شبرا مصر,Cairo,الترعة البولاقية,30.07364,31.23763,2020-06-16,1749.0416666666667,6.0,1.0,2020-06-29,10494.25,2,1,+5000 spendings (10% off)
2283,10957,سوبر ماركت,100119.0,فيصل,Giza,العشرين,30.0144,31.1869,2020-06-16,1094.705,4.0,0.0,2020-08-17,4378.82,2,1,+5000 spendings (10% off)
2284,10960,سوبر ماركت,100131.0,المطرية,Cairo,التروللى,31.20433,30.09869,2020-06-16,1133.36,4.0,1.0,2020-08-22,4533.44,2,1,+5000 spendings (10% off)
2285,10965,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.84541,31.31681,2020-06-16,832.25,1.0,0.0,2020-06-16,832.25,2,1,+5000 spendings (10% off)
2289,10983,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.84305,31.31901,2020-06-16,1561.4733333333331,3.0,1.0,2020-07-21,4684.419999999999,2,1,+5000 spendings (10% off)
2291,10989,سوبر ماركت,100162.0,الوراق,Giza,طناش و نزله الزمر,31.1402,30.14715,2020-06-16,2655.11,1.0,0.0,2020-07-11,2655.11,2,1,+5000 spendings (10% off)
2296,11009,سوبر ماركت,100119.0,فيصل,Giza,كفر طهرمس,30.0148,31.1737,2020-06-16,6614.0314285714285,7.0,0.0,2021-03-14,46298.22,2,3,+15000 spendings (18% off)
2298,11040,عطارة,100134.0,مدينه نصر,Cairo,مدينه نصر,30.04497,31.37691,2020-06-16,1925.033333333333,3.0,2.0,2020-08-12,5775.1,3,1,+5000 spendings (10% off)
2302,11087,سوبر ماركت,100119.0,فيصل,Giza,الطالبية,30.01424,31.17652,2020-06-16,1472.725,2.0,0.0,2020-08-04,2945.45,2,1,+5000 spendings (10% off)
2305,11095,سوبر ماركت,100157.0,بولاق الدكرور,Giza,ابو اتاته,30.0356,31.18555,2020-06-16,1385.32,1.0,0.0,2020-08-15,1385.32,2,1,+5000 spendings (10% off)
2306,11097,كشك,100140.0,مصر القديمة,Cairo,,29.99781,31.23128,2020-06-16,2894.5275,4.0,2.0,2020-07-30,11578.11,1,1,+5000 spendings (10% off)
2311,11150,سوبر ماركت,100109.0,المنيل,Cairo,المنيل,30.01739,31.22717,2020-06-16,520.0,1.0,0.0,2020-06-22,520.0,2,1,+5000 spendings (10% off)
2313,11155,سوبر ماركت,100126.0,امبابة,Giza,المنيره,30.07312,31.19819,2020-06-16,1962.106,5.0,0.0,2020-08-22,9810.53,2,1,+5000 spendings (10% off)
2327,11237,كشك,100106.0,العجوزة,Giza,العجوزة,30.05894,31.21559,2020-06-17,651.655,4.0,2.0,2020-07-15,2606.62,5,1,+5000 spendings (10% off)
2328,11247,سوبر ماركت,100128.0,المعادي,Cairo,البساتين,31.25502,29.98977,2020-06-17,1137.0,1.0,0.0,2020-06-17,1137.0,2,1,+5000 spendings (10% off)
2329,11252,سوبر ماركت,100160.0,ميت عقبه,Giza,ميت عقبه,30.064,31.19568,2020-06-17,766.5,4.0,1.0,2020-07-10,3066.0,2,1,+5000 spendings (10% off)
2331,11266,عطارة,100112.0,العمرانية,Giza,العمرانية الغربية,29.98327,31.20042,2020-06-17,1150.58,2.0,1.0,2021-02-26,2301.16,3,1,+5000 spendings (10% off)
2333,11270,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.83553,31.34737,2020-06-17,6348.57,1.0,1.0,2020-06-20,6348.57,2,1,+5000 spendings (10% off)
2336,11283,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.83492,31.35006,2020-06-17,1947.9,4.0,3.0,2020-07-21,7791.6,2,1,+5000 spendings (10% off)
2339,11301,سوبر ماركت,100106.0,العجوزة,Giza,العجوزة,31.21456,30.05748,2020-06-17,915.23,5.0,1.0,2020-10-12,4576.15,2,1,+5000 spendings (10% off)
2340,11307,سوبر ماركت,100110.0,المرج,Cairo,المرج,30.15635,31.3695,2020-06-17,3913.6281818181815,11.0,7.0,2021-02-07,43049.91,2,3,+15000 spendings (18% off)
2341,11314,سوبر ماركت,100119.0,فيصل,Giza,المساحة,30.01075,31.1939,2020-06-17,1452.91,1.0,0.0,2020-08-02,1452.91,2,1,+5000 spendings (10% off)
2346,11355,سوبر ماركت,100119.0,فيصل,Giza,العشرين,30.01892,31.18212,2020-06-18,1173.89,1.0,0.0,2020-06-29,1173.89,2,1,+5000 spendings (10% off)
2349,11363,عطارة,100160.0,ميت عقبه,Giza,ميت عقبه,31.19974,30.06147,2020-06-18,1687.12,2.0,1.0,2020-07-16,3374.24,3,1,+5000 spendings (10% off)
2350,11372,سوبر ماركت,100153.0,الخصوص,Cairo,الخصوص,31.31834,30.15951,2020-06-18,3890.11,2.0,0.0,2020-07-18,7780.22,2,1,+5000 spendings (10% off)
2352,11382,سوبر ماركت,100125.0,حلوان,Cairo,حلوان,29.84119,31.33044,2020-06-18,7917.04,1.0,1.0,2020-06-18,7917.04,2,1,+5000 spendings (10% off)
2358,11431,سوبر ماركت,100131.0,المطرية,Cairo,الاميريه ,30.01776,31.19729,2020-06-18,3904.066,5.0,2.0,2021-02-27,19520.33,2,3,+15000 spendings (18% off)
2370,11484,عطارة,100157.0,بولاق الدكرور,Giza,ابو اتاته,31.17478,30.03442,2020-06-20,1556.9199999999998,3.0,1.0,2020-07-07,4670.759999999999,3,1,+5000 spendings (10% off)
2371,11486,سوبر ماركت,100110.0,المرج,Cairo,المرج الجديدة,30.16959,31.34603,2020-06-20,1717.3933333333332,3.0,1.0,2021-03-07,5152.179999999999,2,1,+5000 spendings (10% off)
2373,11494,كشك,100142.0,شبرا مصر,Cairo,روض الفرج,30.06517,31.24486,2020-06-20,984.7,4.0,1.0,2020-07-02,3938.8,5,1,+5000 spendings (10% off)
2374,11503,سوبر ماركت,100157.0,بولاق الدكرور,Giza,زنين,31.17566,30.03866,2020-06-20,3389.75,1.0,0.0,2020-07-13,3389.75,2,1,+5000 spendings (10% off)
2376,11505,سوبر ماركت,100134.0,مدينه نصر,Cairo,مدينه نصر,30.04485,31.3591,2020-06-20,1652.4,3.0,2.0,2020-10-08,4957.2,2,1,+5000 spendings (10% off)
2379,11525,سوبر ماركت,100153.0,الخصوص,Cairo,جمال عبد الناصر,31.32298,30.15658,2020-06-20,2090.8066666666664,3.0,0.0,2020-08-13,6272.419999999999,2,1,+5000 spendings (10% off)
2382,11548,سوبر ماركت,100162.0,الوراق,Giza,وراق الحضر,30.09641,31.23118,2020-06-20,2751.006666666666,3.0,0.0,2020-08-05,8253.019999999999,2,1,+5000 spendings (10% off)
2383,11552,سوبر ماركت,100112.0,العمرانية,Giza,العمرانية الغربية,29.993,31.19071,2020-06-20,1163.25,1.0,0.0,2020-07-01,1163.25,2,1,+5000 spendings (10% off)
2385,11564,كشك,100157.0,بولاق الدكرور,Giza,ابو اتاته,30.035,31.18595,2020-06-20,2621.04,2.0,0.0,2020-07-26,5242.08,5,1,+5000 spendings (10% off)
2386,11569,سوبر ماركت,100119.0,فيصل,Giza,العشرين,30.0212,31.1915,2020-06-20,2753.6395,20.0,7.0,2020-09-22,55072.78999999999,2,0,+10000 spendings (15% off)
2388,11576,سوبر ماركت,100125.0,حلوان,Cairo,حدايق حلوان,31.29897,29.89386,2020-06-20,1021.46,1.0,0.0,2020-08-05,1021.46,2,1,+5000 spendings (10% off)
2390,11592,سوبر ماركت,100152.0,مدينة السلام,Cairo,السلام,30.15907,31.41124,2020-06-20,983.18,1.0,1.0,2020-07-11,983.18,2,1,+5000 spendings (10% off)
2392,11598,سوبر ماركت,100112.0,العمرانية,Giza,العمرانيه الشرقيه ,31.20197,30.00808,2020-06-20,1921.59,1.0,0.0,2020-07-04,1921.59,2,1,+5000 spendings (10% off)
2394,11608,سوبر ماركت,100119.0,فيصل,Giza,التعاون,29.99793,31.16254,2020-06-20,1236.27,1.0,1.0,2020-07-22,1236.27,2,1,+5000 spendings (10% off)
2396,11615,كشك,100111.0,المقطم,Cairo,,30.0129,31.30029,2020-06-20,4193.42,1.0,1.0,2020-07-15,4193.42,5,1,+5000 spendings (10% off)
2397,11629,سوبر ماركت,100166.0,صفط اللبن,Giza,صفط اللبن,30.0314,31.16855,2020-06-21,2566.0466666666666,3.0,2.0,2020-09-12,7698.139999999999,2,1,+5000 spendings (10% off)
2400,11653,كشك,100122.0,حدائق القبة,Cairo,مصر والسودان,30.07613,31.27498,2020-06-21,531.0,1.0,0.0,2020-06-21,531.0,5,1,+5000 spendings (10% off)
2402,11669,عطارة,100162.0,الوراق,Giza,وراق الحضر,31.21691,30.1019,2020-06-21,1697.5766666666666,3.0,1.0,2021-02-22,5092.73,3,1,+5000 spendings (10% off)
2409,11741,سوبر ماركت,100134.0,مدينه نصر,Cairo,مدينه نصر,30.04446,31.37508,2020-06-21,4859.58,1.0,0.0,2020-08-16,4859.58,2,1,+5000 spendings (10% off)
2412,11786,عطارة,100140.0,مصر القديمة,Cairo,,29.99755,31.23165,2020-06-22,1103.8466666666666,3.0,2.0,2020-07-11,3311.54,3,1,+5000 spendings (10% off)
2415,11839,كشك,100128.0,المعادي,Cairo,البساتين,31.20395,30.03519,2020-06-22,2038.935714285714,7.0,1.0,2020-08-15,14272.55,5,1,+5000 spendings (10% off)
2416,11841,سوبر ماركت,100110.0,المرج,Cairo,المرج الجديدة,30.17709,31.34873,2020-06-22,2919.925714285714,7.0,3.0,2020-07-01,20439.48,2,3,+15000 spendings (18% off)
2418,11851,سوبر ماركت,100142.0,شبرا مصر,Cairo,الخلفاوى,30.10001,31.24363,2020-06-22,1177.47,2.0,0.0,2020-07-06,2354.94,2,1,+5000 spendings (10% off)
2419,11855,سوبر ماركت,100119.0,فيصل,Giza,الطوابق,30.0026,31.15875,2020-06-22,1796.56,4.0,3.0,2020-08-18,7186.24,2,1,+5000 spendings (10% off)
2421,11877,سوبر ماركت,100119.0,فيصل,Giza,أول فيصل/كوبري الجيزة,30.01775,31.19902,2020-06-23,3866.1,1.0,0.0,2020-07-16,3866.1,2,1,+5000 spendings (10% off)
2422,11878,كشك,100128.0,المعادي,Cairo,طرة,29.93602,31.28202,2020-06-23,2611.7,1.0,0.0,2020-07-28,2611.7,5,1,+5000 spendings (10% off)
2425,11888,عطارة,100101.0,١٥ مايو,Cairo,١٥ مايو,29.811,31.37835,2020-06-23,533.17,1.0,0.0,2020-07-06,533.17,3,1,+5000 spendings (10% off)
2427,11897,سوبر ماركت,100119.0,فيصل,Giza,أول فيصل/كوبري الجيزة,30.01164,31.1984,2020-06-23,705.0,3.0,2.0,2020-06-25,2115.0,2,1,+5000 spendings (10% off)
2430,11912,كشك,100155.0,القناطر الخيرية,Cairo,باسوس,31.21189,30.14435,2020-06-23,2491.385,4.0,0.0,2020-09-15,9965.54,5,1,+5000 spendings (10% off)
2432,11924,سوبر ماركت,100142.0,شبرا مصر,Cairo,روض الفرج,30.06548,31.24298,2020-06-23,4487.17,1.0,0.0,2020-06-23,4487.17,2,1,+5000 spendings (10% off)
2433,11936,سوبر ماركت,100125.0,حلوان,Cairo,حدايق حلوان,29.88858,31.29302,2020-06-23,2729.46,3.0,1.0,2020-07-23,8188.38,2,1,+5000 spendings (10% off)
2436,11965,عطارة,100166.0,صفط اللبن,Giza,صفط اللبن,31.17441,30.02666,2020-06-23,808.06,1.0,1.0,2020-06-23,808.06,3,1,+5000 spendings (10% off)
